,Unnamed: 0,Name,Rating,Date,Review
162,72,Buttermilk & Bourbon,4 star rating,8/19/2021,"Came here for birthday drinks with a few friends. The cocktails were really fun - I started with a B&B Hurricane with came topped with liquid nitrogen and was delicious. I also had the Tipitina (I think) which was topped with a rock candy lollipop.

We were told that 1-2 plates per person were the norm, so as a group of 3, we got 6 items.

We got the wings with Nashville hot seasoning and white BBQ sauce. The Nashville hot was good, the white BBQ was fine but they originally made them plain and gave us the sauce on the fine. Not sure how they taste when made correctly.

We also had the pulled pork croquettes (delicious), the roasted jalapeno mac & cheese (the star of the show), the salmon hushpuppies (a special of the day. They were good, but not spectacular), and finally, the shrimp & grits (so good).

I would give them five stars BUT we ordered oysters and didn't get them for over 20 minutes so canceled them.

They did give us a very tiny cup of mocha ice cream as we were celebrating a birthday.

All in all, I would return and give them another chance. The food was good after all, a 7/10 in my book."
163,73,Buttermilk & Bourbon,2 star rating,9/19/2021,"The two stars are really only earned for the service. We ate here after hearing so many people speak of it, but honestly I wish we saved our money and went elsewhere. We ordered five items honey glazed biscuits, crawfish etouffee handpies, pulled pork croquettes, chicken sliders, and alligator hot fries. 

Honey Glazed Biscuits: Tragically the best part of the meal but that's not saying much. The biscuits are decent and have a nice blend of sweet and savory served with pimento cheese, cinnamon sugar butter, and flaky salt on top. 

Crawfish Etouffee Handpie: Do yourself a favor and skip this! This dish is just a series of flavors that don't go together. Outside wrapper is a masa dough that fries up crisp but just does not match with the cajun flavors of etouffee. The etouffee is underwhelming on its own and is mostly bell peppers and onions. The few pieces of crawfish you do get are dry and over cooked. The dish is paired with mayo and hot sauce which just adds to the taste bud confusion when eating but doesn't really add much else.

Pulled Pork Croquettes: Another skip. Nice crispy panko breaded exterior and reminds me a bit of arancini but less enjoyable. Taste is like a pork green chile served with bbq sauce than pulled pork itself. The ball is 90% rice 5% peppers and 5% pork. Textures are again nice but flavors were a total miss for us.

Chicken Sliders: If you really have to eat here, then this is not the worst thing, but it's certainly not the most amazing chicken sandwich even when comparing to the cheaper counterparts (popeyes, wendy's, etc). Chicken itself is painfully bland and overcooked. The sandwich itself relies heavily on the bacon jam and pickles to add flavor which personally made it quite bland especially when you get a bit with only chicken.

Gator hot fries: Another ""if you have to order something"" dish. When fresh I could imagine this being tasty, but this dish was lukewarm when brought to the table. Fries had started to go soggy and the gator is, again, overcooked but this time well seasoned. Didn't love the addition of the pimento cheese but overall not the worst.

Overall notes:
- food was not hot when we dined here. It was lukewarm at best for the majority of our dishes
- flavors don't pair well together 
- if you're in search of the punchy cajun flavors this is NOT your place. Save your money and go elsewhere."
164,74,Buttermilk & Bourbon,4 star rating,11/10/2021,"We walked into Buttermilk & Bourbon after calling to see if there was room at the bar. They happened to have a table open they offered us if we could eat within an hour 1/2. No problem! Since highland fried closed down near us we have been looking for fried chicken to satisfy the cravings. 

The whole ambiance is super cool and feels like you've been transported out from a basement in boston to New Orleans. The staff and waiters were very attentive. We skipped the biscuits because they were only offered in tins of 4 - but I'm sure that was a mistake after seeing them pass by. 

We tried a few different dishes - they suggested 2-3 per person. We had the fried chicken (a little dry and not very crispy) and the gator fries (pretty tasty! But I wish there was more sauce). The bbq shrimp grits were maybe my favorite. I loved dipping the fries in the leftover grits. The ribs were pretty tasty as well! 

I had very high expectations for this place but overall it was pretty delicious and a great feel. I would bring visitors here for a night of small plates and drinks."
165,75,Buttermilk & Bourbon,4 star rating,7/11/2021,"A friend recommended this place to me when I was in town so I went with a group and had the best time!

I always find tapas places are great for groups because they offer a wide variety of dishes for everyone to try. This isn't a traditional tapas place and they definitely don't serve traditional Spanish food but what we did have was delicious. Namely, the black eyed pea hummus, the kale salad, and the sliders. 

The food took a little longer to come out but the servers made sure they were candid about running behind and got us ample drinks while we waited. 

For me, the cocktails were the best part of the night. The drinks were creative and well balanced. I got the passionfruit cocktail and my boyfriend got a negroni. Everyone at the table ordered a second of their drink, they were all incredible. The bar program here is clearly well-run.

All in all, it's a great spot!"
166,76,Buttermilk & Bourbon,5 star rating,7/10/2021,"A Garden level patio, this place is the perfect spot for a brunch with friends! 

Service was great, the tapas were large. I would actually consider some of these full size meals - we ordered way too many and would've been good with 1.5 each but everything we ordered was delicious. My personal favorites were the honey buns, and the hand pies but you couldn't go wrong with anything!"
167,77,Buttermilk & Bourbon,1 star rating,4/10/2022,"Went in with my girlfriend and we sat in the lounge room. First thing server spilled water on my girlfriend but things happen, the problem is he barely cleaned up the water at all I had to clean it up. The part that really got me is I got tequila on the rocks and a cocktail. Took Almsot 15-20 minutes to get it while the server served a new table a bottle a wine and an other table drinks before us. When I got my drink my ice in my tequila was melted and made the actual alcohol deluded. Shows that The server had a lack of awareness of when the bartender finished the drinks.  Also the food runner slammed our biscuits on the table and left. When I got my food it was fine. Food was actually very taste just we also had fly flying around our food. To top it all off when I went to tip the server in cash, I was counting the money in my wallet, he just stood there starting at me instead of taking care of his other tables VERY uncomfortable and awkward. The food was good just service it's self was very very terrible. Our server was a young man with an accent and tattoo band around his arm. I'm a bartender and have been in the industry for years. And I never had such a terrible service experience ever. I usually sit at the bar. But this sever just needs better training"
168,78,Buttermilk & Bourbon,4 star rating,3/27/2022,"tasty! a creative yet slightly overpriced take on southern food. decor/atmosphere is nice, and the location (right next to newbury st) is unbeatable. had mediocre service when seated on the patio during a busy day. biscuits are memorable and would recommend the hummus. I would come back, but I probably won't make this a regular go-to."
169,79,Buttermilk & Bourbon,4 star rating,1/2/2022,"Definitely considered fine dining to me.  It can be expensive but worth it and I guess it depends on how much you're ordering if you're like me and you eat with your eyes first the menu was going to get you going always tasty selections with details in the descriptions that make them seem irresistible. Food is stunning, both the appetizers and inside the restaurant. The ambiance is very welcoming and charming. The desserts are always a hit they change up but the beignets are always there and you won't frown while you're eating those."
170,80,Buttermilk & Bourbon,5 star rating,12/9/2021,You had me at Buttermilk & Bourbon. This place is just plain fun. The decor is eclectic and the overall environment is relaxed and easy with excellent service.  The menu is diverse but not too complex. It's a lot of fun as group to order a bunch of shareables. The bourbon list was quality and the cocktail menu has something for everyone. Fantastic venue for team dinners!
171,81,Buttermilk & Bourbon,5 star rating,11/11/2021,"We walked in to get a quick ""snack"" while walking touring Boston. Everything we had was so good! Wish we could come back but we live a few states away xD the warm honey glazed biscuits with the two spreads are amazing. We got the chicken sliders and oysters - also very good! Drinks were on point! Definitely recommend."
172,82,Buttermilk & Bourbon,5 star rating,7/20/2021,"Amazing food, amazing service, amazing everything! I was first hesitant to try their alligator fries considering it was real alligator meat but it's so yummy that I didn't care afterward. Their baby back ribs literally fell off the bone so easily (no knives or munching needed). It also had this corn mash thing on the bottom that was the perfect amount of sweet and tangy, just amazing. Their fried chicken was alright, not the best but not bad. Their beignets though, redeemed the meal again since it was absolutely to die for!!  

10/10 MUST TRY!"
173,83,Buttermilk & Bourbon,4 star rating,4/26/2021,"Came here on a Friday night for a birthday! Street parking only!

The inside was much bigger than I imagined :) The food here is tapas style, I love that you can try so many things without feeling like you need to stick to just your own plate. Make sure you ask for extra utensils for serving if you need :)

We brought our own cake, they charge a $3 per slice cake cutting fee! 

Then we went on to order drinks and food. The Alligator Fries, don't question it. Just get it! The fried alligator literally tastes and feels like fried chicken. The fries though, super crispy, hot and that sauce on top, PERFECT! Get 2 if you're in a group ;)

I really liked the texture of the mac and cheese, where the cheese was super melty and not thickkkkk. The beignets were super freshhh I only wish they were as big as the ones from Cafe Du Monde :)

Overall, I enjoyed my time here :) A bit pricey but considering location and style, its about right."
174,84,Buttermilk & Bourbon,2 star rating,10/10/2021,"The BAD, the GOOD, and the UGLY.
I like to take a day or two before I review an experience in an effort to stay as fact based and as objective as I possibly can (recognizing that reviews are inherently subjective); my experience was poor as the quality of the service and the food were poor. 

I'm in Boston, hanging out with my son. His birthday was yesterday and we decided to celebrate here. Here are the highlights:

1) Parking was challenging but persistence paid off. We found a spot on the street 2 1/2 blocks away.

2) I made reservations in the Open Table app stressing that it was a Celebratory  event, and requested a nice table .

3) My son and I was shown a middle table against the wall, where we would abut to the table on either side. I requested one of the end tables as it would be more comfortable. The waitress quickly reset us. Thanks!

4. The hostess walked through at least twice and looked at me both times as if annoyed.

5. We had catfish ( B-) alligator ( B+) mac and cheese (C), and beef cheek (C).

6. My son enjoyed the alligator, me not much. The catfish is as hot, but not seasoned well.

7. No one acknowledged Justin's birthday.

8. I asked for coffee, but waited so long for 
cream. The coffee was too cold too drink.

9. The waitress made an attempt to ensure our Dining experience was pleasant, she reseated us promptly and made heart felt recommendations. The timing of the food was off but because there was a food runner perhaps that was not on her.

10. The hostess and/or Waitress acknowledging that it was a special occasion (I wrote a whole paragraph on Open Table about the importance of that night) would have gone a long long way. And if you can't seat someone where they requested, you acknowledge that and say: I see you requested so and so, but unfortunately....

11. All and all, it was not a pleasant night.

12. My feelings only: surely not what the Restaurant was trying to tell me: but I felt unimportant and taken for granted."
175,85,Buttermilk & Bourbon,4 star rating,9/4/2020,"Lovely outdoor and indoor dining restaurant in Back Bay that has such unique cocktails and small plates! We had reservations at 8 and were seated shortly after. They were just turning over many tables at once so the service was slow to start. Once they got acclimated and had things under control, dinner service was smooth sailing. 

For the table we had fried chicken sliders, Mac and cheese, biscuits, beef sliders, hummus, salad, Nashville Hot chicken wings, shrimp and grits, fried calamari, and beignets. I recommend everything we had. It was just the right amount of food for 4 people. Love those Beignets!"
176,86,Buttermilk & Bourbon,4 star rating,11/13/2021,This place was really good however I was expecting a brunch menu. I did not realize it was only Sunday. We got the chicken sliders biscuits and brie. The bread was a little burnt on the brie. The biscuits were amazing and so was the chicken. The brie was okay.
177,87,Buttermilk & Bourbon,5 star rating,7/26/2021,"Went for their Sunday brunch and could not have been more pleased with the outcome. We had the chicken and waffles, my wife had the cinnamon French toast, everything was absolutely AWESOME!!!

 I almost forgot about the honey biscuits, the best biscuit I have ever had!!!!!Bloody Marie's were top 5!!

This is a MUST have when you visit Boston"
178,88,Buttermilk & Bourbon,4 star rating,10/4/2021,"Buttermilk & Bourbon has been on my list for a while and it didn't disappoint!

It is so beautiful inside and the food is delicious!

We got the gator fries. It didn't occur to us it was real alligator until after eating it but that is totally fine with me and I'm impressed by the commitment to the Southern theme. The biscuits were amazing. I'd go back just for that. They were warm and flakey as you'd expect.

Buttermilk & Bourbon seems to always be busy which is a great sign for them, but definitely makes it a little difficult if you're looking to show up spontaneously or have a lot of attention from the servers. With that in mind, I thought our brunch was great. Food & drinks were prompt and delicious. What more can you ask for?"
179,89,Buttermilk & Bourbon,3 star rating,2/28/2021,"Overall decent experience. Traveling through town especially in fat tuesday I was excited to learn about this place. The chef had been on shows like top chef, bar rescue and etc. It was a top reviewed restaurant a
That was new Orleans expired. I thought what a perfect match this will be amazing! Had candied hibiscus drink. For food we had
Appetizers:
Oysters & lemon shandy poached shrimp- oysters did not taste good i actually tossed them back out. I was excited for the shrimp as I thought theyd have great unique flavor. Nope! Your typical shrimp cocktail.
Main course: crawfish risotto. Now I love Risotto and adding crawfish sound like a perfect match. Unfortunately this dish was beyond bland. It taste like I was eating bland box risotto and they threw a few pieces of crawfish & tomatoes in there. The risotto was hard and chewy I was highly disappointed 
Lastly for desserts. Had the king cake inspired beignets. & gave the breadpudding a try.
The beignets were delicious and i enjoyed the nice twist of having filling inside. 
The bread pudding however was very disappointing. This was unfortunate as bread pudding is my favorite dessert. The bread puddibg tasted like burnt coffee on bland bread heard to explain but it was gross. The first time I had bread pudding only took 2 bites"
180,0,Saltie Girl,5 star rating,3/23/2022,"The saltie Girl is the best , they have the best bar tenders especially tico and zoey. Very welcoming and sweet and very attentive !"
181,1,Saltie Girl,5 star rating,4/6/2022,"Just giving an updated review. The food is still really good here. The service is exceptional. He really can't go wrong with a place like Saltie girl. I fortunately went on a rainy day so they were able to accommodate us on a walk in because eod some cancellations and missed reservations from the inclement weather. Typically they're booked out with reservations on a regular basis. 

The cod was recommended by the waitress, it was flaky, buttery, and overall delicious. The truffle fries were probably some of the best fries that I've had. I just wish that they had some more condiments like ranch on hand but no biggie. The torched salmon with avocado was a great flavor a combo, albeit small. 

Overall it was another wonderful experience at Saltie Girl."
182,2,Saltie Girl,1 star rating,4/8/2022,"If you are looking to feel marginalized, you might get that experience here.

April 2021, I went here and after being told to wait five minutes for a patio table I requested, I watched the hostess give it to another party that came after me. I thought maybe that party had a reservation and I was waiting for a different table to be set up, so I waited 10 minutes before asking the hostess how much longer it would be. Turns out the hostess wasn't planning on seating me at all and by her own admission said she completely forgot about me; she forgot I was waiting for a table even though I was standing by a tree maybe 10 feet away from her the whole time. This would have been my first visit to this restaurant and I was excited to try it after hearing good things about the food; unfortunately, because of this experience I decided I will never dine here."
183,3,Saltie Girl,4 star rating,4/4/2022,"One of my favorite restaurants in Boston. I'm only giving it 4 stars because the quality isn't consistent, especially considering the price. I find weekdays a bit riskier in ensuring you're eating the best & freshest quality they have to offer as well as differing portion amounts.

One of the star dishes in my opinion is the Raw Day Boat Scallops, but when I've ordered it during the week, they've tasted milky and off. Some of the raw oysters can also smell fishy. 

Otherwise, the food here is truly top tier on a good day. I love the Whole Fried Black Bass, Charred Octopus, Raw Tuna and Clam Chowder. Tip: add hot sauce into the clam chowder to elevate it! I was surprised at the Asian take on the bass with a very traditionally executed (and delicious!) sauce. Don't skip on dessert or cocktails either, they're just as good as the main food. The chocolate cake and brown butter cake are both moist and delectable. 

I always recommend this restaurant as a must-visit for the city. Be sure to make a reservation early, they fill up fast!"
184,4,Saltie Girl,5 star rating,3/31/2022,"We heard this was a must in Boston from several friends and I'm so glad we went. My parents and I seriously had ourselves a seafood feast. You could probably get the same quality at a lower price point somewhere else and I still need to try Neptune but Saltie Girl does offer reservations and we came away extremely satisfied. 

1. Clam chowder: Possibly the best chowder I've had anywhere. I grew up eating the Campbell version as an after-school snack so clam chowder holds a dear spot in my heart. This is hearty, soothing, with a chunk or two of fried clam. I saw this on every table. 

2. Boston lettuce salad: This is the salad that all restaurant salads should aspire to (looking at you, Via Carota). I am indeed that person who will wax poetic about a salad but this was heavenly - an abundance of fresh, different lettuce leaves, with thinly sliced rounds of carrots, cucumber, chicory, and other root veggies. Beautiful knife work. Light dressing. Not a single brown sliver to be seen. Did someone examine each leaf before it went on the plate? 

3. Snow crab toast: A combination of a few of my favorite things on earth. The bread was crusty, thick, well-buttered, and held up well even after we let it sit for a bit (too many delicious things on the table). Generous helping of crab, along with pistachios and stracciatella. I am drooling even as I write this. Get one or two of these for the table if a bigger group. 

4. Torched salmon belly: Grilled avocado + the tenderest salmon belly. Yes, it's $19 for a few mouthfuls of food. Yes, absolutely worth it. 

5. Whitefish salad: Of all the things we ordered, I think I could have done without this dish, if only because I've been spoiled by NY bagels and lox/whitefish. The whitefish was very salty but nicely balanced out by all the accoutrements. Try to eat this first, as the toasted bagel got stale fast. 

Service: Warm and attentive. I echo all the reviews that say they really do treat you like family here. 

The only downside to this place is the lack of parking but that's a blip on an otherwise exceptional dining experience. Can't wait to come back."
185,5,Saltie Girl,3 star rating,4/11/2022,Hour long wait just to get a few oysters on a Sunday night. We walked along newbury street until our table was finally ready. It ended up being $60 for a dozen oysters. I get that this is market pricing but it's getting a little out of hand.
186,6,Saltie Girl,5 star rating,3/23/2022,"For those who have not been here since 2019 (me, preCOVID). They've moved and now have lots of room and reservations!  The old location is more of a fish and chips and bar. 

Lobster roll was nice, not too buttery and the crispy roll nicely held it together. 
Really enjoyed the clam chowder. Has a hearty depth of flavor and small fried clams as a topping is a brilliant touch. 
Of course the torched salmon belly is just as good as before but has evolved in its presentation. 
Linguini and clams was ok.  More butter than I usually prefer. 
Oysters are cleanly prepared--glacier bay is mild and slightly sweet."
187,7,Saltie Girl,5 star rating,3/9/2022,"THIS PLACE LIVES UP TO THE REVIEWS. EVERYTHING WAS SO SO GOOD. 

Searched must-eats in the city and saltie girl was named so many times so I made a reservation a few weeks ahead of time. the staff was really friendly and answered all of our questions. I ordered the clam chowder to split with a friend and a lobster roll. the rest of my party also ordered oysters to go with their meal and they loved the oysters, especially the devon port. my clam chowder was flavorful and so creamy. I ordered the lobster roll and it was buttery and just melted in my mouth. there was ample lobster pieces in it and the bread was to die for. I will be recommending this place to everyone I know. 

please bring back the crab carbonara!! I heard and saw so many good reviews for it and can't wait to try it."
188,8,Saltie Girl,5 star rating,3/5/2022,"Don't come here if you're afraid to spend $$$. If not, totally check this place out and order EVERYTHING. You won't be disappointed. The service was great but the food!? Oh man. 
The oysters were the most delicious and fresh I've had in a while, loved the garlic vinegary mixture in the dropper bottle. 
My friend ordered the fried clams and the flavor was out of this world good.  
The torched salmon belly over the most gloriously torched avocado I've ever known? To die for.
Lately, the hot buttered lobster roll was so succulent and perfectly presented. Wish it came with fries but the chips were actually worth trying! We ordered the fries anyway and I tasted a hint of truffle- delicious like everything else."
189,9,Saltie Girl,5 star rating,3/5/2022,"One of our go to seafood / hang out restaurant in the area. 
Variety of seafood choices, all of good quality. It's fortunate they are still such a great restaurant after their expansion during the pandemic.
Uni toast, scallop, fried clam, spicy crab roll are our must orders. Also love the torched salmon belly, clam chowder, steak tartare, and tuna flatbread.
Also like their various cocktails, e.g. grapefruit and pineapple."
190,10,Saltie Girl,5 star rating,2/21/2022,"Saltie Girl (4.5/5)
I was in the mood for a lobster roll this weekend, so I went to Saltie Girl and sat at the bar and I was not disappointed.  This place is always packed on the weekends, so I decided to have a late lunch around 2pm, and I still had to wait about ten minutes for a seat at the bar.  The wait was worth it though!

I ordered a glass of Momo sauvignon blanc to drink which was pretty good.  I then ordered the clam chowder and a hot buttered lobster roll.  The clam chowder was very good, it came with nice bits of clam meat, potatoes, and bacon.  It was incredibly tasty, and a perfect fit for a snowy day in Boston.  Then the hot buttered lobster roll came out,  which was delicious! The lobster was dressed with lots and lots of butter in a perfectly toasted bun.  It was served with a side of Saltie girl's own potato chips.  For the price (MKT of $38) I do wish it was served with french fries, but the chips were very good regardless.

This is a spot I would definitely recommend you stop by.  I would recommend either getting a reservation or coming at an off hour to try to secure a table here.  It's a very popular place, and for good reason. I can't wait to go back for dinner one of these days!"
191,11,Saltie Girl,5 star rating,2/12/2022,"The seafood and drinks were solid. Came here on a Saturday evening and it did not disappoint. 

Petite Seafood Tower: it came with 6 oysters; 3 from the west coast and 3 from the east coast, as well as 2 littleneck clams, 2 top neck clams, 2 jumbo shrimps and a crab salad. The crab salad was really good and the west coast oyster was more flavorful than the east coast because it was sweeter and meatier. I enjoyed the texture and the flavor of the clams, especially the top neck.

Moules Frites: it was very good. It came with mussels cooked in white wine, garlic, butter, lemon, herbs, and topped with Parmesan fries. The sauce was very flavorful and it served well as a dip for the fries.

Overall I enjoyed the meal here and will definitely be back again to try more dishes."
192,12,Saltie Girl,5 star rating,2/20/2022,"Hands down the best lobster roll I have had in Boston. While pricey and a bit out of the way from Downtown, I highly recommend making at least one trek into the area to pick up an amazon lobster roll here. 

The food item looks deceptively extremely small. The bread itself is tiny and can easily fit into a child's one hand. However this thing is packed to the brim with lobster. Tasty, juicy, fresh lobster flesh. The roll was seasoned exceptionally well and definitely the best roll in Boston."
193,13,Saltie Girl,3 star rating,3/27/2022,"Saltie Girl came highly recommended to me on my recent trip to Boston. Definitely make a reservation on Resy, this place is hopping. I started with their cranberry cocktail, which was one of the prettiest drinks I've gotten at a restaurant. Their clam chowder was delicious, complemented with a fried clam on top. I was about three spoonfuls into my chowder though when my main course arrived...a warm lobster roll. I understand that all of the food is cooked to order, but I wish my main course wasn't getting cold while I finished my appetizer. While the dining room was gorgeous, the lighting gets incredibly dim after sunset."
194,14,Saltie Girl,5 star rating,2/21/2022,"I've been wanting to go to this place and I finally made it here for brunch with some friends. Making a reservation at least a few days ahead of time is a must! I had a great experience here - the food and cocktails were delicious and the service was exceptional. It's definitely on the pricey side, but you are getting quality food. Here's my review on the food and drinks:

Cocktails ($16/each)
I personally preferred the Grapefruit as it is sweet and fruity. The Pear would be perfect for those who likes a spicy tequila cocktail.

Oysters (~$4/each)
Plump, fresh and cleanly shucked oysters. A few of them were in pretty big shells as well. They were delicious!

Torched Salmon Belly ($19)
Absolutely loved this dish! Each piece of miso glazed salmon belly was so fatty and tender that they melted in our mouths. The char added a deep smoky flavor that was balanced out by the freshness of the avocado slices and diced apples.

Gloucester Lobster Roll ($38)
Excellent lobster roll. I got it served warm. The roll was warm and buttery, stuffed with a generous amount of fresh lobster. Our server told us it was delivered soon after we got there so you can't get any fresher than that! The lobster roll was served with a bag of chips which was good, but nothing special.

Overall, everything I got was tasty and prepared well. I've definitely had equally delicious oysters and lobster rolls for much cheaper. However, I think this place is still worth it for a special occasion if you're willing to splurge."
195,15,Saltie Girl,5 star rating,1/5/2022,"In my several visits to Boston, I've walked by Saltie Girl multiple times, and I'm so glad I finally stopped in. It was a busy Friday, but we were able to score a table in the bar area. Everything on the menu was mouth watering, but we narrowed it down to some of the best items!

We started with fresh oysters. I honestly can't remember the names of the ones we chose because there were several at the time, but the server was great about describing the taste of all of them and we narrowed it down based on that. My favorite thing was definitely the torched salmon belly. The salmon melted in your mouth and the avocado added the perfect flavor! My next favorite was the steak tartare. Oh my goodness, how it melted with every bite! The toast and Parmesan cheese were perfect addition. You can't go to New England without trying clam chowder, and I was impressed with this one. It had real clams in it and was so creamy. Lastly, we had the calamari. It was so fresh and definitely a great addition to the other choices. I hope to be able to visit again in the future!"
196,16,Saltie Girl,5 star rating,1/11/2022,"Delicious..

I came here when I was visiting Boston for work due to a recommendation from a friend. And it did not disappoint. 
The 1.25lb lobster bake with the corn and potatoes... Geez.
Cooked to perfection. Melt in your mouth. Everything you'd expect from a lobster done well.
Scallop crudo was also very good.

Oysters were solid but definitely very pricey. For that, hard to justify paying nearly 4 dollars per Oyster. Not sure what I was thinking but I went for it anyway thinking I'd be somehow blow away. It just tastes like really good oysters each with its own slight flavor. 

The table next to mine was definitely jealous when I was digging into the lobster by myself lol. It was just so good and I was just eating it well :)"
197,17,Saltie Girl,4 star rating,1/16/2022,"I honestly thought this was going to be overrated, but I was pleasantly surprised.

I got the tuna special, but had foie gras on top. Cooked rare. The tuna itself was so soft. My teeth had such a great time sinking into the meat.

The lobster roll wasn't bad. Not my favorite but not bad at all. 
They have their own potato chips! It was awesome!

The octopus was a bit rubbery.
But the real winner was the seafood tower. It is an absolute must!!

Crab was amazing, tuna was amazing, oysters and clams were great.

A bit pricey, but good experience."
198,18,Saltie Girl,4 star rating,1/22/2022,"Been reading about this restaurant for a few yrs finally made it - today's destination - with my girlfriend , son &  fiance 
Very nice restaurant, relaxed yet buttoned down  professional. Excellent service as well.

You start with today's selection of raw bar and there are a LOT of great choices offered with personal pad and pencil for type and  quantity.

We started with 12 osters, and the presentation is a 5.0 with a  lot of fine tuned  condiments. I added a few crab legs, ( very small but tasty, if you like them get at least 6) total average score  4.0.
Dishes ordered
Started with clam chowder 5.0 it's excellent , big bowl
Lox and bagel with lots of side stuff... 4.0
Fried Lobster - different really good 4.4
Lobster roll ( hot) 4.5
Galic steamed mussels 4.3
We all drank  champagne ( no. Prosecco but great alternative)
The desert menu is wanting, none of the only 3 of interest to us 
Overall, this is a great seafood restaurant and I highly recommend it."
199,19,Saltie Girl,1 star rating,12/15/2021,"TL;DR - The Torched Salmon Belly had some good flavors and was nicely balanced but was burnt. The Lobster Roll was filled with chewy claw meat. This made the sandwich not very enjoyable. The menu was uninspired, and the prices were outrageous. Meanwhile, the service left a bit to be desired. 

The brobdingnagian lambasting:

Are you kidding me?! I take my parents out to eat for a Christmas gift to this?! The sheer mediocrity is compounded by one gut punch after another that will make a return visit to Saltie Girl unlikely even if they paid me. 

One of the problems with one of Yelp's updates: it's harder to see average ratings over time. Thinking about the 4.5-star average rating, the phrase ""Lies, blank lies, and statistics"" comes to mind. 

Anyways, I am a believer that the theater starts with the cloakroom. In the case of this restaurant, you could argue this is hand-washing. The water was so cold it felt as if it were filtered through ice twice over. Not helping matters, the soap is the kind that takes a little effort to wash off. This ordinarily would be a good thing, especially in the age of COVID... but not when you can't feel them. How do you all expect me to hold a fork, eh?

For food, we decided to go for something simple. The three of us ordered the same thing: Torched Salmon Belly and a warm Lobster Roll. More on this later. 

The Torched Salmon Belly wasn't half bad! The avocado was ripe, the sauce was pleasant, and the veggies rounded everything out. The piece of salmon belly, though, was tiny! The flavors and textures were mainly good, only it may have been torched a little too much, for the crust was burnt! $19 for half an avocado and a piece of salmon belly the size of two dominoes, at best. 

Then came the $38 abomination called the Lobster Roll. Where to even start with this thing? The lobster was claw meat, a little firm but worse: chewy! With this being a sandwich, biting a piece off without dragging a whole lot more filling with it isn't possible. The meat was lightly buttered, and the inside of the bread seemed to have a little mayo, but that's it. No veggies or any other fresh elements.

I can forgive that there isn't a choice of bread (not everyone likes sweet bread), but a lack of options with the chips is much less forgivable. Salt and vinegar chips don't agree with everyone's palate. Don't like them? Sorry! 

Speaking of choice and variety... ordinarily, we love to get different things and try everything. I also love to try new and unique cocktails. With all of us getting the same thing and me passing on the cocktails speaks to their uninspired menu (though I realize this is more us than anything else).

Then there was the service. For a location of this caliber (looking at prices), I would expect the service to be top-notch, or at least above-average. For how quiet the restaurant was, the service was slow and unattentive. Then, towards the end, when they brought the payment machine, the server was looking over my shoulder as I completed the transaction (and selected the tip). The pressure, man! 

(Visit date = 12/15/2021)"
200,20,Saltie Girl,5 star rating,12/6/2021,"If you're looking for a great fresh seafood spot, Saltie Girl is the place to go! They have an upstairs and downstairs area. The upstairs is way trendier than downstairs. I must say, they have the best clam chowder and warm or cold lobster rolls! The only thing I would say about the lobster roll is that I wouldn't pay almost 40 dollars for it.... Anyways, I love their fun cocktail cups too from sea horses to blowfish etc. I'd definitely recommend this spot, highly recommend and very satisfied. 

Things I ordered: 
- Clam Chowder: marble potato / salsify / bacon
- Torched Salmon Belly*: avocado / apple / cucumber / miso glaze
- Hot French Bread sea salt butter
- Gloucester Lobster Roll: warm or cold Saltie Girl Sea Salt & Vinegar Potato Chips
- Charred Octopus
spicy nduja / fingerling potatoes / fennel / cress"
201,21,Saltie Girl,5 star rating,3/8/2022,"Finally had a chance to come here for dinner . Make sure you have reservations for any occasions here. It's pretty dimly lit inside and nicely decorated. The services and food was amazing . We had the dwac urchin Uni which comes out with the dropper bottle , the day boat crudo, the torched salmon belly with avocados , yellowtail crudo and the delicious branzino . Everything came out Instagram looking and as good as it looks . Words can't describe how fresh and the excellence of it all."
202,22,Saltie Girl,5 star rating,3/6/2022,"LOVE. LOVE. LOVE! In Boston for the weekend with family and had a truly magnificent experience here. Drinks were on point and presented beautifully. The Saltie martini--vodka, gordal olive, pickled onion, caviar--was fabulous both visually and in its deliciousness (highly recommend). Highlights from the meal were snow crab avocado toast, oysters (I could slurp back raw oysters), the fresh-baked bagel with pastrami lox, and snow crab legs. Simply divine, every bite. If you're a seafood lover, you can't miss here."
203,23,Saltie Girl,5 star rating,12/13/2021,"We wanted to get lobster rolls while we were in Boston and our friend who was in town about a month before us had recommended the lobster rolls at Saltie Girl. The restaurant seems to be popular during dinner hours since we were only able to find an opening at 5:30pm even though they are open until about 10 or 11pm, but it was completely empty when we went during lunch hours on a Monday. 

The lobster roll here did not disappoint and I would say this was the best lobster roll I've ever had.  You can get it chilled or hot. I got mine hot and I would highly recommend it. The lobster roll came on a soft, buttery toasted bun and there were huge chunks of lobster that were cooked to perfection. The lobster roll is always market price and it turned out to be pretty pricey since it was $38 that day (not including tip and tax), but it was totally worth it and I would come back here to order the lobster roll again the next time we're back in Boston. The server was also really friendly and did not pressure us to order drinks or appetizers."
