LocationName,Address,City,State,Zip,Description,Website,Phone,
Dancing Queen Apiary ,104 Coventry Wood Road,Bolton,MA,01740,Family operated honeybee apiary. Specializing in small batch raw honey and beeswax products.,,(978) 779-0776,
Dartmouth Orchards,515 Old Westport Road,Dartmouth,MA,02747,Whether you're looking to sip on some of our award-winning ciders taste our delicious jams and jellies or go apple picking with some friends we have it all. Dartmouth Orchards has developed over three generations of family care offering treats treasures and memories that you won't find anywhere else. Located only a mile west of The UMass Dartmouth we're the perfect experience when you want to get away even just for a moment. Leave all your troubles behind and come say hello!,dartmouthorchards.com/,(508) 992-9337,
Davagian Christmas Tree Farm,19 Merriam Lane,Sutton,MA,01526,Family farm over 20 years offering cut-your-own Christmas trees. Varieties include Frasier Fir Blue Spruce White Pine and others. Barn offers wreaths bows ornaments and hot cider.,www.davagiantreefarm.com,(508) 865-3413,
Davell’s Farm,30 Orchard Drive                                       ,North Attleborough,MA,02760,Offer guided ‘hands on’ tours to show the process of making Maple syrup. School tours scout groups and general public are welcome on weekends in February and March. Our store carries many maple products including our fresh local maple syrup. See website for more information and schedule.,davellsfarm.com,(508) 699-7228,
Davenport Maple Farm,111 Tower Rd.,Shelburne ,MA,01370,Sugar house restaurant open in the spring when making maple syrup. The restaurant will re-open in March 2022. Our maple products are available all year here on the farm and at local farmers' markets,www.facebook.com/DavenportMaple/,(413) 625-2866,
Dave's Natural Garden,35 Amherst St.,Granby,MA,01033,Vegetable and greenhouse business selling many types of vegetables flowers and herbs as well as hanging baskets and Christmas products. Attractive retail sales area including a new greenhouse expanded farmstand. New products include fruit trees and blueberries. ,,(413) 320-6802,
Davidian Brothers Farm,500 Church Street,Northborough,MA,01532,Offer a wide variety of delicious fruits and the freshest garden vegetables since 1920. Our local produce and locally-grown plants are offered year round. Shop our selection of homemade bakery items and jarred goods and peruse our vast selection of fine meats and cheeses at our deli. ,www.Davidianbros.com,(508) 393-3444,
Deer Meadow Farm,60 Reed St.,Warren,MA,01083,Small family-run farm mainly produce hay and maple syrup.,www.facebook.com/DeerMeadowFarm88/,(774) 200-7708,
Deer Run Maples,135 Ed Jones Road,Otis,MA,01253,Maple Sugar house family owned and run.,,(413) 269-7588,
Derby Ridge Farm,438 Great Road,Stow,MA,01775,Fifth generation family farm. An I.P.M orchard which means minimal pesticide application. Press our own cider that is unpasteurized with no preservatives. Grow over 30 varieties of apples peaches and pears and also have pumpkins gourds and squash. Offer many varieties of native vegetables and Christmas trees and wreaths which are all available at our farm stand.,derbyridgefarm.com/,(978) 897-7507,
Dickinson Farms,134 South St.,Granby,MA,01033,PYO strawberry blueberry apple & pumpkin operation. Also grow sweet corn tomatoes cucumbers summer squash and many other vegetables sold at our Rte 202 location. ,www.dickinsonsfarm.com,(413) 467-3794,
Dick's Market Garden,649 Northfield Road,Lunenburg,MA,01462,Open 7 days a week spring (approx mid-April) until the day before Thanksgiving; 8:00 am - 7:00 pm. In the spring/summer we have a wide range of annuals perennials and vegetable plants. As the season goes on the primary focus shifts from plants to selling fresh picked fruits vegetables greens and herbs from the farm. We have a farm stand in Lunenburg and do many farmers markets in the Boston and Worcester area.,www.dicksmarketgardens.com,(978) 582-0400,
Dick's Market Garden - Boston Innovation Center Farmstand,One Design Center Place,Boston,MA,02210,Date and Time: Monday 2:00 pm - 6:30 pm July 8 to September 30.,,,
Dick's Market Garden - EF Education Farmstand,Two Education Circle,Cambridge,MA,02141,Date and Time: Last Tuesday of the month 11:30 am - 2:30 pm June 25 to October 29.,,,
Dick's Market Garden - Trinity Lutheran Church Farmstand,73 Lancaster Street,Worcester,MA,01601,Date and Time: Saturday 10:00 am - 2:00 pm June 15 to October 12.,,,
Dick's Market Garden - Wollaston Farmstand,89 Clay Street,QUINCY,MA,02169,Date and Time: Sunday 11:00 am - 2:00 pm June 23 to October 27.,,,
Diemand Farm,126 Mormon Hollow Road,Wendell,MA,01379,Poultry farm with retail store. Fresh Turkeys chickens eggs farm made products like soups pot pies ground turkey fruit pies cookies maple syrup honey hay compost and a few extras. Small commercial kitchen doing catering specializing in chicken BBQ and turkey pot pies. Please call ahead for availability and tours.,www.thediemandfarm.com/,(978) 544-3806,
Doe Orchards,327 Ayer Road,Harvard,MA,01451,Located in Nashoba Valley. Committed to PYO. 25 acres of PYO apples 10 acres of U-cut Christmas trees 2 acres of PYO blueberries & raspberries.,www.doeorchards.com,(978) 772-4139,
Donaroma's Nursery,271 Upper Main Street,Edgartown ,MA,02539,Grow perennials annuals collect native seeds grow native grasses and more.,www.donaromas.com/,(508) 627-8595,
Dowse Orchards,98 North Main Street,Sherborn,MA,01770,200 year old family farm operation all natural cider cider press viewing 25 varieties of apples fruit stand PYO apples pumpkins of every shape & size. Christmas trees greenhouses.,www.Dowseorchards.com,(508) 653-2639,
Dragonfly Farms,40 Prescott St.,Pepperell,MA,01463,Small acre vegetable farm in Pepperell as well as lease additional acres nearby. Grow all of our vegetables and fruits using organic and sustainable methods (we are not certified organic). The CSA season will run from mid-June until the end of October approximately 19 weeks. A weekly full share will be enough to feed a family of four (or two vegetarian adults) and a half share and will feed two adults who eat vegetables on a moderate basis. Visit website for more info. on the CSA and about our farm.  CSA Products offered: Vegetables Pickup(s):On Farm Westford and Allston,www.dragonfly-farms.com,(978) 433-3906,
Drew Farm ,31 Tadmuck Road,Westford,MA,01886,Family owned farm that specializes in providing a family atmosphere for apple picking. Located on a hill that provides spectacular fall foliage viewing. Weekends provide a free tractor drawn trailer ride to the orchard. Great fun for the kids (and pretty fun for the adults too)! Offer a large selection of pumpkins and hardy mums. Fresh pressed apple cider bottled water and old-fashioned root beer available. ,www.drewfarm.com,(978) 807-0719,
Drumlin Farm Wildlife Sanctuary,208 South Great Road,Lincoln,MA,01773,At Mass Audubon’s Drumlin Farm Wildlife Sanctuary you can experience life on a working farm and explore a wildlife sanctuary at the same time. With pigs sheep goats chickens cows a CSA program and 206 acres of wildlife sanctuary to explore there’s something for everyone to enjoy.  Farmstand is open year-round during our regular hours of operation - (Mar-Oct) Tues.-Sun. and Mon. Holidays 9-5; (Nov.-Feb.) Tues.-Sun. and Mon. Holidays 9-4. 7/2020- Covid-19 Update: Currently open on Saturdays only.  CSA Product offered: Vegetables Eggs Meats Fruits. CSA starts in Mid-May - Pick-up at the farm: Wednesdays noon-6:00  ,www.Massaudubon.org/drumlinfarm,(781) 259-2200,
Dufort Farms,55 Reservoir Ave.,Rehoboth ,MA,02769,Family owned and operated farm specializing in USDA Hormone and Antibiotic Free all Grass-fed beef and foraged pork. Our meat products are available at the farm store along with honey eggs jams and jellies. Pick your own blueberry fields are open mid July - September.,www.dufortfarms.com,(508) 252-6323,
Dunrovin Farm,261 River Street,Halifax ,MA,02338,Feed and grain/Farm store. Pumpkins and Livestock.,dunrovinfarm.com/,(781) 294-1498,
Dutchie's Greenhouses,545 State Road,Plymouth,MA,02360,,,(508) 224-3450,
E. Cecchi Farms,1131 Springfield Street-Feeding Hills,Agawam,MA,01030,The Cecchi family has farmed in Feeding Hills since 1924 and has been at this location since 1946. We are a fourth generation family farm. We grow a large selection of annuals and perennials herbs and vegetable plants in our greenhouses. From our field we grow variety of vegetables & berries in season.  Open daily 9:00 am - 5:00 pm April through Mid-October. ,,(413) 786-2489,
E.L. Silvia Farms,2955 County Street,Somerset,MA,02725,SNAP accepted at farmstand on Monday Wednesday and Friday from 9:00 am - 6:00 pm Open Mid-July to October,,(508) 982-8612,
East Mountain Farm,582 Henderson Road,Williamstown,MA,01267,Small diversified farm selling pastured beef pork and chicken to local families nearby since 1984. Our USDA inspected products are sold by the piece at the farm year-round during daylight hours and at the Williamstown Farmers' Mkt. Beef and Pork are available by the whole or side. Beef also sold by the split side.  ,www.eastmountainfarm.com/,(413) 281-7291,
East Street Farm,460 East Street,Tewksbury,MA,01876,Offer spring flowers summer vegetables and fall pumpkin picking. Open daily from 9:00am to 6:00pm.   CSA Products offered: Fruits Vegetables Pickup(s): On Farm Farmer Markets,www.facebook.com/EastStreetFarm/,(978) 851-2048,
Echo Hill Orchards Winery & Distillery,101 Wilbraham Road,Monson,MA,01057,PYO apples and pumpkins weekend tractor riders. Weekday school tours cider donuts haunted hayrides in October. Winery and 13 room giftshop open daily Labor Day thru October. ,www.echohillorchards.com,(413) 267-3303,
Eden Pond Farm,316 Eden Trail,Bernardston,MA,01337,Family-run poultry farm specializing in pastured hormone and antibiotic-free meat chickens and laying hens.   ,,(413) 695-4653,
Elliot Farm,202 Main St.,Lakeville,MA,02347,Family farm specializing in sweet corn tomatoes and sunflowers. CSA also available. Farmstand open seasonally 7 days 10:00 am - 6:00 pm.,www.elliotfarm.org,(508) 692-8912,
Ellsworth Tree Farm,246 School st,Northborough,MA,01532,Cut your own Christmas Trees w/fresh green handmade products Christmas Shop. ,www.ellsworthtreefarm.com,(508) 393-6479,
Elm Turkey Farm,298 Arlington Street,Dracut,MA,01826,Offers fresh turkeys turkey pies gravy and stuffing. Seasonal - November & December,www.facebook.com/pages/Elm-Turkey-Farm/110168385713892,(978) 454-7970,
Everett Community Growers,548 Broadway ,Everett,MA,02149,Everett Community Growers (ECG) is a program of the Everett Community Health Partnership (ECHP) working to improve health outcomes and increase civic engagement among Everett residents through urban agriculture and other food justice initiatives. Saturday 9 am- 12 pm Wednesday Farm Pick-ups 3 pm- 6 pm. Accept: P-EBT SNAP/ HIP Card and Cash ,everettcommunitygrowers.org/,,
Evergreen Farm,155 Kendall Hill Road,Sterling,MA,01564,Family operated choose-and-cut Christmas Tree farm. The farm was established by Bill and Julie Gauld in 1979. Offer Balsam Canaan Concolor and Fraser Firs as well as White Pine Colorado Blue Spruce and other species of trees. In addition offer wreaths roping swags mantel and table decorations ornaments and other related items for sale in the gift shop. When you are done shopping have a complimentary cup of hot chocolate by the warm fire.,evergreenfarmsterling.com/,(978) 855-6073,
Fairmount Fruit Farm,887 Lincoln Street,Franklin,MA,02038,Bedding plants combination pots hanging baskets perennials. PYO apples hayrides pumpkins crafts pies. May to mid-July daily 10am-6pm. Aug-Oct 10am-8pm Nov-Dec 24 seasonal hours call ahead.,www.fairmountfruit.com/,(508) 533-8737,
Family Farm,56 Dean Pond Rd.,Brimfield,MA,01010,,,,
Fantasy Acres Farm,186 West Main Street,Groton,MA,01472,Roasting Chickens and Turkeys,,(978) 448-2749,
Farmer Dave’s,437 Parker Road,Dracut,MA,01826,Certified IPM and implement organic growing practices first. Offer spring shares summer vegetable and fruit shares and late fall shares for 9 months of fresh locally grown produce. 100% of the vegetables in the CSA shares are grown by Farmer Dave's.   CSA Product offered: Vegetables Fruit CSA Pickup(s): On Farm Farmer Markets CSA Pickup Days: Tuesday starting in June.,www.farmerdaves.net/,(978) 349-1952,
Farmer Dave's at Hill Orchard,4 Hunt Rd,Westford,MA,01886,Orchard and farmstand offering a wide variety of locally grown produce including peaches apricots nectarines plums apples and pears. Weekend PYO apples and hayrides in Sept. and Oct. SNAP accepted on Mondays only. School and Group tours available.  CSA: at farm on Fridays.  ,www.facebook.com/WestfordHillOrchard,(978) 392-4600,
Farmer Tim's Vegetables,130 Concord Ave.,Belmont,MA,02478,Saturday & Sunday 2:00 pm - 8:00 pm ,www.farmertims.com,(857) 334-3121,
Farmer Tim's Vegetables,110 Ramshorn Rd.,Dudley,MA,01571,Daily 2:00 pm - 6:00 pm,www.farmertims.com,(857) 334-3121,
Fay Farm,Amesbury Line Road,Haverhill,MA,01830,Pick-your-own Apples-Peaches. Fall products. winter squash Pumpkins,www.facebook.com/pages/Fays-Farm-Orchard/214360268575359,(978) 502-2148,
Fay Mountain Farm,12 Cemetery Road,Charlton,MA,01507,Farm is 65 acres owned by the Town of Charlton. Offer PYO apples and blueberries. Vegetable and meat CSA and more!,www.faymountainfarm.org,(508) 248-7237,
Fernald Friends/Templeton Campus Enterpr,212 Freight Shed Road,Templeton,MA,01436,Working farm for the Dept. of Mental Retardation.,,(978) 939-2161,
Fieldstone Acres Tree Farm,143 Plymouth Road,Carver,MA,02355,We are a choose and cut tree farm that allow out customers to tag and reserve their trees. We offer complimentary cider and cookies. We will cut your tree and load it onto your vehicle.,www.facebook.com/pages/Fieldstone%20Acres%20Tree%20Farm/562971757168456/,(508) 866-2839,
Fine Farms Corn Crib,147 133 Tremont St.,Rehoboth ,MA,02769,,www.finefarms.com,(508) 226-0616,
First Leaves Family Farm,431 Douglas Road ,Northbridge,MA,01588,Indoor farm producing herb and vegetable micro-greens and baby greens. Open all year. Call email or contact through website for weekly availability and arrange for pick up or delivery. ,www.facebook.com/firstleavesfamilyfarm,(508) 887-5265,
Five Acre Farm Greenhouses,108 Hinsdale Road,Northfield,MA,01360,,www.fafgrowers.com/,(413) 498-2208,
Fletcher Farm,22 Gunn Road,Southampton,MA,01073,Dairy Farm with seasonal buisness - all locally grown. May & June - Flowers hanging baskets etc. Sept & October - PYO pumpkins school field trips hayrides. december- Massgrown Christmas trees (pre-cut) sold at farmstand.,www.fletcherfamilyfarm.com,(413) 527-6888,
Flint Farm,789 East St.,Mansfield,MA,02048,,www.flintfarmstand.com/,(508) 337-6473,
Flourish Farm,59 Tower Hill Rd.,Brimfield,MA,01010,Open Thursday & Friday 10:30 a m - 5:00 pm until November. ,www.facebook.com/LetMeFlourish/, (413) 245-9764,
Flying Carrot Farm,607 Elm St.,Dartmouth,MA,02748,Grow a wide variety of chemical-free vegetables and some fruits following sustainable practices. We offer both a summer and winter CSA with pick-up at the farm. Also sell our vegetables at our farm stand and at the Dartmouth farmers’ market.  CSA Pickup Days: Tuesday and Friday Starting in June.  Farm stand is open Saturday 10:00 am - 6:00 pm June to October.  ,www.theflyingcarrotfarm.com,(774) 400-7277,
Flying Cloud Orchards,540 Main Street,Acushnet,MA,02743,,www.flyingcloudorchards.com/,(508) 995-6214,
Flynn Farm,49 Mort Vining Road,Southwick,MA,01077,Organic Farm. Starting a comminuty garden along side a children's garden. day volenteers welcome. We sell hay all year long. Willing to do workshops on bread gardening gardening with children. Homeschoolers welcome.,,(413) 569-0420,
Foppema's Farm,1605 Hill Street,Northbridge,MA,01534,Farming in the Blackstone Valley since 1983. We are a first generation fruit and vegetable farm open June-Oct. selling "our own" farm fresh produce. Strawberries blueberries raspberries sweet corn tomatoes lettuce apples and much much more.  Open Monday to Saturday 9:00 am - 6:00 pm June 1 to October 31 and Saturdays in November.,www.foppemasfarm.com,(508) 234-6711,
Foppema's Hilltop Orchard,10 McClellan Road,Sutton,MA,01590,Open Saturday and Sunday 10:00 am - 5:00 pm September to October while the apples last.  Open Columbus Day.,www.foppemasfarm.com,(508) 865-6706,
Forthill Farm,325 Forthill Ave,Pittsfield,MA,01201,Farmstand offering locally grown produce open seasonally Monday - Friday 11 am-6pm and Saturday and Sunday 9 am - 6pm. Fresh veggies fruit eggs Angus hamburger and pasture raised chicken. Cornstalks mums straw and hay bales. Lettuce herbs and flowers are freshly cut to order. ,www.forthillfarm.org,(413) 281-0652,
Four Town Farm,90 George Street,Seekonk,MA,02771,A fifth generation wholesale/retail vegetable farm including pick your own. Presently grow approx. 200 acres of vegetable crops and 3/4 acre of spring annuals. Fall school educational tours.,www.fourtownfarm.com,(508) 336-5587,
Fox Hill Farm,69 Kimball Rd,Amesbury,MA,01913,Small family farm offering fresh eggs honey produce marinated meats pastas sweets and other farm stand favorites. Come visit the horses goats and chickens in our small picnic area. Open year round!,foxhillfarmstand.com,(978) 270-9200,
Freedom Food Farm ,471 Leonard St,Raynham,MA,02767,Four-season farm using organic and bio-dynamic principles striving to model natural eco-systems. Offer a range of vegetables pasture-raised poulet rouge chickens heritage pork poat lamb and soy free eggs. Flagship CSA program allows members to access to pick your own strawberries peas cherry tomatoes flowers culinary and medicinal herbs. ,www.freedomfoodfarm.com,(978) 884-7102,
Fresh Meadows Farm,39 North Main Street,Carver,MA,02330,Certified Organic Fresh Fruit and Homemade Sauce. Open weekends September 29 through October 21 (check for updated openings) 12:00 Noon to 5:00pm Watch your berries being harvested if weather permits. Organic cranberries and products available for purchase on site at our best prices!! Inquire about local deliveries. Prearranged tours available during harvest - please call ahead for availability - small groups bus and RV parking. ,freshmeadowscranberries.com,(508) 866-7136,
Full Well Farm,312 East Rd,Adams,MA,01220,,www.fullwellfarm.com,(413) 441-1638,
Fullflight Game Farm,4 Brattleboro Road,Bernardston,MA,01337,Have upland gamebird eggs chicks and flight ready birds including ringneck pheasant chukar partridge hungarian (grey-legged) partridge and red-legged partridge. We also have a cross between the chukar/red-legged partridges great for hunt clubs. Full service Hunt Club open to the public. Fullflight has 350+ acres of prime upland hunting fields and woods. Ship over 200000 eggs and chicks all over the world.,www.fullflight.com,(413) 648-9580,
Fungi Ally,311 River Drive,Hadley,MA,01035,Open Monday to Friday 9:00 am - 5:00 pm year-round Mushrooms only,www.fungially.com,(978) 844-1811,
Gaetano's Organic Farm,453 Main St (Rt. 8),Becket,MA,01223,Organic Farm offering assortments of organic berries and vegetables. PYO and CSA.,www.facebook.com/Gaetanos-Organic-Farm-100381535054403/,(413) 329-3862,
Garden of Delights,20 Rocky Hill Rd.,Hadley,MA,01035,,,(413) 584-8970,
Gardening the Community Farm Store and CSA,200 Walnut Street,Springfield,MA,01105,CSA - GTC EATS! Farm Share: Sign ups for the summer GTC EATS! CSA Farm Share open. Season runs June 17 - Oct. 29 picks ups Wednesdays and Thursdays full season and monthly sign ups available. Half and full shares. Lower cost shares available for low income elders and families. Check website for details and farm stand hours including winter hours.       ,www.gardeningthecommunity.org,,
Gary's Too,155 Main St. ,Townsend,MA,01469,Open 7 days 8:00 am - 7:00 pm April to December SNAP-EBT Accepted at farmstand Monday Wednesday Saturday and Sunday only,,978-302-9827,
George Hill Orchards,582 George Hill Road,Lancaster,MA,01561,PYO blueberries peaches raspberries apples pumpkins; home of the Apple Tree Theatre providing educational programs (weekdays app.only). New Farm Flavors Kitchen and outdoor barbecue large eating deck with panoaramic view seasonal hayrides and pony rides. Close to Fruitlands Museum Davis Farmland Wachusett Reservoir.,www.Yourfavoritefarm.com,(800) 699-4331,
Giddings Farm,158 John Wise Avenue,Essex,MA,01929,Hay and Grain sales,,(978) 768-6826,
Glen Gary Christmas Tree Farm,539 Shoemaker Lane,Agawam,MA,01001,Choose and cut Christmas Tree farm!,,(413) 786-1558,
Godard's Red Hen Farm/Mineral Hills Winery,592 Sylvester Road,Northampton,MA,01062,Godard's Red Hen Farm has Honey Blueberries Apples Cider and Wine. Wine tastings are held on Fridays Saturdays and Sundays during the months of April to December.,www.godardfarm.com,(413) 586-2575,
Golden Egg Farm,,Hardwick,MA,01031,Eggs yarn pottery and manure available seasonally from May-October.   Catch us at a farmers market! Please call ahead for our Massachusetts location and egg availability. No tours available or on farm sales.,www.goldeneggfarm.com,(413) 477-8872,
Golden Hour Farms,6 Barstow St,NORTH DIGHTON,MA,02764,Cut Flower farm specializing in U-Pick Tulips and Sunflower events. Our own honey as well.,www.goldenhourtulips.com,(508) 468-6801,
Golonka Farm,6 State Rd.,Whately,MA,01093,,www.golonkafarm.com/,(413) 247-3256,
Good Bunch Farm,221 North River Road,SHELBURNE FALLS,MA,01370,Good Bunch Farm grows fresh vegetables for two farmers markets (Shelburne Falls Fridays 2:00 pm - 6:30 pm and Ashfield Saturdays 9:00 am - 1:00 pm) wholesale and our farm stand. Our farm stand is open daily 7:00 am to 7:00 pm self-serve.   We accept SNAP/HIP at the farm stand by appointment only. ,www.goodbunchfarm.com,(413) 588-1722,
Good Spirits Farm,106 East Bare Hill Rd,Harvard,MA,01451,Small farm - regenerative agriculture/permaculture. Honey flowers berries orchard herbs medicinal plants. Offer workshops and educational farm tours.,www.goodspiritsfarm.com/,(978) 456-6815,
Gooseberry Farm,201 Goosberry Road,West Springfield,MA,01089,Open May to October 9:00 am - dark. ,,(413) 484-4284,
Goss Farm,446 Pleasant Street,Dunstable,MA,01827,Corn Maze - Educational School Tours - Animals - Fall items: pumpkins mums cornstalks.,www.facebook.com/GossFarmDunstable/,(978) 649-7688,
Gould Farm Roadside Store & Café,100 Gould Road,Monterey,MA,01245,Our Roadside Store & Cafe features farm grown products including our own beef homemade breads & mint tea. Huge pancakes served with our own maple syrup. Open for breakfast and lunch. We also have a small dairy operation large gardens pigs beef cattle many marked trails and farm tours. The main mission of farm is to provide a community living & working toward the well being of guest clients on our 600 acre farm.,www.Gouldfarm.org,(413) 528-1804,
Gove Farm,925 Mechanic Street,Leominster,MA,01453,Grow everything we sell! Seventh generation family farm set on 50 acres overlooking Mount Wachusett.,www.govefarm.com,(978) 537-8640,
Grace Hill Dairy,47 Potash Hill Road,Cummington,MA,01026,Small family farm with Normande and Ayrshire cows are grass-fed and milked seasonally from April through November. Produce artisanal raw milk cheeses grass-fed raw milk and eggs from our organic-fed pastured hens. ,www.gracehilldairy.com,,
Grand Maple Farms,727 Moore Rd,New Braintree,MA,01531,Offer maple syrup candy and granulated maple sugar all from the farm. Come see syrup being made most weekends in March/early April. Check website for boiling dates and open houses. Sales year round.,www.massmaple.org/granulated-maple-sugar/grand-maple-farms/,(508) 867-2526,
Granny's Place,844 Main St,Agawam,MA,01001,Vegetables flowers hanging baskets pumpkins mums christmas trees Farmstand and CSA. CSA Products offered: Vegetables Pickup(s): On Farm CSA Pickup Days: Thursday and Friday.  Farmstand Open: 8:00 am - 6:00 pm; Sunday 9:00 am - 5:00 pm.  ,,(413) 786-9366,
Gran-Val Farm/Scoop,233 Granby Road (Route 189),Granville,MA,01034, Farm with homemade gourmet ice cream. Group tours. Light lunch & gifts. Mid-April to mid-Oct daily 10:30am-9pm. ,granvalscoop.com/,(413) 357-6632,
Grass Roots Farm,860 West Brookfield Rd,New Braintree,MA,01531,Family farm raising 100% grass fed beef pastured chicken pork and free range eggs. You can find us at the farm or at farmers markets in Boston. Visit website for details.,grassrootsfarm.net,,
Grateful Farm,49 Prospect St.,Franklin,MA,02038,,www.gratefulfarm.com/,(508) 446-5804,
Graves-Glen Farms,104 Wilson Graves Road,Shelburne ,MA,01370,,,(413) 625-9066,
Gray's Farm,38 Barnes Road,Ashfield,MA,01330,,www.grayssugarhouse.com/,(413) 625-6559,
Great Cape Cod Medicinal Herb Farm,2624 Main Street (Rt. 6A),Brewster,MA,02631,Old fashioned herbal apothecary and organic herb farm. Organic expresso cafe and oriental tea garden; garden paths with plant identification and medicinal use plaques. Buses welcome. Gifts from Asia at the farm store.,www.Greatcape.com,(508) 896-5900,
Great Rock Alpacas,280 Hardwick Rd,Barre,MA,01005,Great Rock Alpacas is a medium-sized alpaca farm with 42 huacaya alpacas. We breed and sell these lovely gentle animals along with their products made from their fiber. We sell their beautiful fleece as yarn raw fleece for hand-spinners or made into various clothing products. We have a full range of colors. Come visit and meet our award winning alpacas! ,www.greatrockalpacas.com,(978) 355-2119,
Green Acres Fruit Farm,868 Main St.,Wilbraham,MA,01095,Open Daily 10:00 am - 5:00 pm.,www.facebook.com/GreenAcresFruitFarm/,(413) 596-3016,
Greener Acres Farms,51 Pleasant Street,Mendon,MA,01756,Family owned and operated dairy farm selling raw Milkbeef pork eggs and other local products. Compost is available for pick up or delivery.,www.facebook.com/GreenerAcresFarms/,(508) 473-9842,
Greenwood Hill Farm,59 Brigham Street,Hubbardston,MA,01452,Working sheep farm and farm shop yarn and knitting supplies sheep skins spinning supplies spinning and knitting lessons. USDA inspected freezer lamb.,www.facebook.com/greenwoodhillfarm/,(978) 928-5175,
Greenwood Tree Farm,96 Dudley Rd,Billerica,MA,01821,Tree farms with a scenic location featuring colonial farmhouse and Christmas shop. Free hot cider and tasting of our own honey. A traditional Christmas experience. Dogs are welcome on a leash. Stroll through our fields with your family and make this your family tradition like so many others. ,www.greenwoodtreefarm.com,(978) 667-5380,
Greystones Farm,40 Park Hill Avenue,Millbury,MA,01527,Small seasonal vegetable (emphasis on sweet corn) farmstand on Rt. 122A line between Sutton/Millbury (not at home farm address). Sales start in August. Sell Easter lambs each year (wholesale only).,,(508) 754-4612,
Griggs Farm,599 Boston Road,Billerica,MA,01821,58 acre farm established 1943. Greenhouse plants vegetables for retail and wholesale.,www.griggsfarmbillerica.com,(978) 667-9111,
Ground Up - Stone Milled Flours,27 Middle St,Hadley,MA,01035,Offering flour sales directly to consumers through online and curbside pick-up.,www.groundupgrain.com/order,,
Gulbankian Farms Garden Ctr and florist,40 Mt. Vickery Rd.,Southborough,MA,01772,Growers of annuals perennials vegetable plants. Full Florist Shop. Gift Shop. Greeting Cards.,gulbankianfarms.com/,(508) 485-8979,
Hager's Farm Market,1232 Mohawk Trail,Shelburne ,MA,01370,Farm-fresh locally grown produce our own grass-fed meat and pastured pork maple syrup and maple products and local specialty products. Homemade bread pies and baked goods. Home-style breakfast and lunch served daily. Enjoy a maple creemee in the summer apple picking in the fall! Open seven days year-round. ,www.hagersfarmmarket.com,(413) 625-6323,
Hall Tavern Farm,Route 2 Mohawk Trail,Shelburne ,MA,01370,Walking hiking x-country ski trails farm tours working farm wide pine and hardwood flooring beams & other homegrown wood products.,,(413) 625-9008,
Hamilton Orchards,25 West Street,New Salem,MA,01355,Apples and berries nature trail picnic areas snack bar hayrides. Bakery features apple and berry pies apple dumplings cider donuts more. Farm animals picnic tables. Mid-June to Oct 9am-5pm.,,(978) 544-6867,
Hampden Nurseries Inc.,16 Somers Road,Hampden,MA,01036,Approximately a 10- acre farm growing assorted trees and shrubs (mostly Evergreen shrubs) with new 2001 Garden CenterConservatory Greenhouse with gifts florals garden supplies Stonewall Kitchen etc. Nursery stock.,,(413) 566-3242,
Hanging Mountain Farm/Strawbale Cafe,188 North Road,Westhampton,MA,01027,3rd generation Family owned Farm producing Maple Syrup Candy Cream Hay & Vegetables. Check out our post & beam Strawbale Café for great pizza.  ,www.hangingmountainfarms.com,(413) 527-0710,
Hanson Farm,20 Nixon Road,Framingham,MA,01701,Fifth generation family farm offering PYO - strawberries blueberries raspberries pumpkins flowers. Growing 180 varieties of fruits and vegetables offered at our roadside stand and farmers' markets. C.S.A. shares available. Herb and vegetable seedlings in spring. Hayrides Corn Maze and Haunted House Horse boarding. Check our website for festivals/current events. Open May through October Monday - Saturday 9:00 am - 6:00 pm (closes at 5:30 pm on Sundays). CSA Products offered: Vegetables Pickup(s): On Farm,Hansonsfarmframingham.com,(508) 877-1658,
Hanson Farm Inc.,600 Pleasant Street,Bridgewater,MA,02324,Family owned and operated-3rd. generation.,hansonfarm.com,(508) 697-4003,
Happy Goats Farm,400 Norfolk St.,Holliston,MA,01746,Milk is available daily in the self serve sales room at the farm. Message Diana at 617-272-0170 if you have a larger order or would like your milk in a glass jar. Goat milk soap and herbal tinctures.,www.happygoatsfarm.com/,617-272-0170,
Hardwick Sugar Shack,572 Jackson Road,Hardwick,MA,01037,Small family farm making delicious maple syrup and maple products.,www.Hardwicksugarshack.com,(413) 477-0932,
Hardwick Vineyard & Winery,3305 Greenwich Road,Ware,MA,01082,The Samek Family is proud fourth owner of the Giles E. Warner farm established in 1795 that now features six varieties of French hybrid grapes. Tour the 5000 square foot true mortise & tenon timber frame barn whose oak was cut from the Farm's 150 acres. Come visit a Massachusetts Family Farm Vineyard and Winery for tasting tours and special events where "Yankee" is our motto.,www.HardwickWinery.com,(413) 967-7763,
Harper's Farm & Garden CSA,1539 North Main St,Lancaster,MA,01523,Diversified fruit & vegetable farm growing on 85 acres. Farmstand open 7 days a week from End of April - Thanksgiving.   EBT-SNAP Accepted at farmstand at the following times: Monday 1:00 pm - 4:00 pm; Thursday 10:00 am - 6:00 pm; Friday 1:00 pm - 4:00 pm and 10:00 am - 4:00 pm on weekends.  Also offer a weekly CSA membership. CSA Products offered: Vegetables Pickup(s): On Farm Farmer Markets,www.harpersfarm.com/,(978) 365-7577,
